\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00Temp:26.06,Rele:0,Set Point:70,Tempo:0.00
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.01
Temp:26.06,Rele:1,Set Point:70,Tempo:0.02
Temp:26.00,Rele:1,Set Point:70,Tempo:0.02
Temp:26.00,Rele:1,Set Point:70,Tempo:0.02
Temp:26.13,Rele:1,Set Point:70,Tempo:0.02
Temp:26.13,Rele:1,Set Point:70,Tempo:0.33
Temp:26.13,Rele:1,Set Point:70,Tempo:0.89
Temp:26.13,Rele:1,Set Point:70,Tempo:1.45
Temp:26.13,Rele:1,Set Point:70,Tempo:2.01
Temp:26.13,Rele:1,Set Point:70,Tempo:2.57
Temp:26.13,Rele:1,Set Point:70,Tempo:3.13
Temp:26.13,Rele:1,Set Point:70,Tempo:3.69
Temp:26.13,Rele:1,Set Point:70,Tempo:4.25
Temp:26.06,Rele:1,Set Point:70,Tempo:4.81
Temp:26.06,Rele:1,Set Point:70,Tempo:5.37
Temp:26.13,Rele:1,Set Point:70,Tempo:5.93
Temp:26.13,Rele:1,Set Point:70,Tempo:6.49
Temp:26.13,Rele:1,Set Point:70,Tempo:7.05
Temp:26.06,Rele:1,Set Point:70,Tempo:7.61
Temp:26.13,Rele:1,Set Point:70,Tempo:8.17
Temp:26.13,Rele:1,Set Point:70,Tempo:8.73
Temp:26.13,Rele:1,Set Point:70,Tempo:9.29
Temp:26.13,Rele:1,Set Point:70,Tempo:9.85
Temp:26.13,Rele:1,Set Point:70,Tempo:10.40
Temp:26.13,Rele:1,Set Point:70,Tempo:10.97
Temp:26.13,Rele:1,Set Point:70,Tempo:11.53
Temp:26.13,Rele:1,Set Point:70,Tempo:12.08
Temp:26.13,Rele:1,Set Point:70,Tempo:12.65
Temp:26.13,Rele:1,Set Point:70,Tempo:13.21
Temp:26.13,Rele:1,Set Point:70,Tempo:13.76
Temp:26.13,Rele:1,Set Point:70,Tempo:14.32
Temp:26.13,Rele:1,Set Point:70,Tempo:14.89
Temp:26.13,Rele:1,Set Point:70,Tempo:15.44
Temp:26.13,Rele:1,Set Point:70,Tempo:16.00
Temp:26.13,Rele:1,Set Point:70,Tempo:16.57
Temp:26.13,Rele:1,Set Point:70,Tempo:17.12
Temp:26.13,Rele:1,Set Point:70,Tempo:17.68
Temp:26.13,Rele:1,Set Point:70,Tempo:18.24
Temp:26.13,Rele:1,Set Point:70,Tempo:18.80
Temp:26.13,Rele:1,Set Point:70,Tempo:19.36
Temp:26.13,Rele:1,Set Point:70,Tempo:19.92
Temp:26.13,Rele:1,Set Point:70,Tempo:20.48
Temp:26.13,Rele:1,Set Point:70,Tempo:21.04
Temp:26.06,Rele:1,Set Point:70,Tempo:21.60
Temp:26.13,Rele:1,Set Point:70,Tempo:22.16
Temp:26.13,Rele:1,Set Point:70,Tempo:22.72
Temp:26.06,Rele:1,Set Point:70,Tempo:23.28
Temp:26.06,Rele:1,Set Point:70,Tempo:23.84
Temp:26.06,Rele:1,Set Point:70,Tempo:24.40
Temp:26.13,Rele:1,Set Point:70,Tempo:24.96
Temp:26.13,Rele:1,Set Point:70,Tempo:25.52
Temp:26.13,Rele:1,Set Point:70,Tempo:26.08
Temp:26.13,Rele:1,Set Point:70,Tempo:26.64
Temp:26.13,Rele:1,Set Point:70,Tempo:27.20
Temp:26.13,Rele:1,Set Point:70,Tempo:27.75
Temp:26.13,Rele:1,Set Point:70,Tempo:28.32
Temp:26.06,Rele:1,Set Point:70,Tempo:28.88
Temp:26.13,Rele:1,Set Point:70,Tempo:29.43
Temp:26.06,Rele:1,Set Point:70,Tempo:30.00
Temp:26.13,Rele:1,Set Point:70,Tempo:30.56
Temp:26.13,Rele:1,Set Point:70,Tempo:31.11
Temp:26.06,Rele:1,Set Point:70,Tempo:31.67
Temp:26.13,Rele:1,Set Point:70,Tempo:32.23
Temp:26.06,Rele:1,Set Point:70,Tempo:32.79
Temp:26.06,Rele:1,Set Point:70,Tempo:33.35
Temp:26.13,Rele:1,Set Point:70,Tempo:33.91
Temp:26.13,Rele:1,Set Point:70,Tempo:34.47
Temp:26.13,Rele:1,Set Point:70,Tempo:35.03
Temp:26.13,Rele:1,Set Point:70,Tempo:35.59
Temp:26.13,Rele:1,Set Point:70,Tempo:36.15
Temp:26.06,Rele:1,Set Point:70,Tempo:36.71
